stall_id,stall_name,food_name,food_id,food_price,food_categories
13,Fudbook KITCHENETTE,Red Tea Juice L,131,₱25.00,"Beverage, Cold"
13,Fudbook KITCHENETTE,Red Tea Juice XL,132,₱40.00,"Beverage, Cold"
13,Fudbook KITCHENETTE,Mango Juice M,133,₱20.00,"Beverage, Cold"
13,Fudbook KITCHENETTE,Mango Juice L,134,₱25.00,"Beverage, Cold"
13,Fudbook KITCHENETTE,Mango Juice XL,135,₱40.00,"Beverage, Cold"
13,Fudbook KITCHENETTE,Egg Sandwich,136,₱30.00,"Snack, Hot"
13,Fudbook KITCHENETTE,Egg Sandwich w/ Cheese,137,₱35.00,"Snack, Hot"
13,Fudbook KITCHENETTE,Ham Sandwich,138,₱30.00,"Snack, Hot"
13,Fudbook KITCHENETTE,Fried Noodles w/ Siomai,139,₱50.00,
13,Fudbook KITCHENETTE,Siomai Rice,140,₱40.00,"Rice Meal, Hot"
13,Fudbook KITCHENETTE,Burgersilog,141,₱60.00,"Rice Meal, Hot"
13,Fudbook KITCHENETTE,Burger Steak 1pc w/ Rice,142,₱40.00,"Rice Meal, Hot"
13,Fudbook KITCHENETTE,Burger Steak 2pcs w/ Rice ,143,₱60.00,"Rice Meal, Hot"
13,Fudbook KITCHENETTE,Burger Patties 1pc w/ Gravy,144,₱25.00,"Rice Meal, Hot"
13,Fudbook KITCHENETTE,Burger Patties 2pcs w/ Gravy,145,₱50.00,"Rice Meal, Hot"
13,Fudbook KITCHENETTE,Hamsilog,146,₱60.00,"Rice Meal, Hot"
13,Fudbook KITCHENETTE,Longsilog,147,₱60.00,"Rice Meal, Hot"
13,Fudbook KITCHENETTE,Malingsilog,148,₱60.00,"Rice Meal, Hot"
13,Fudbook KITCHENETTE,Hotsilog,149,₱65.00,"Rice Meal, Hot"
13,Fudbook KITCHENETTE,Sisigsilog,150,₱75.00,"Rice Meal, Hot"
13,Fudbook KITCHENETTE,Rice,151,₱15.00,"Rice Meal, Hot"
13,Fudbook KITCHENETTE,Boiled Egg,152,₱15.00,"Rice Meal, Hot"
13,Fudbook KITCHENETTE,Siomai 3pcs,153,₱20.00,"Rice Meal, Hot"
13,Fudbook KITCHENETTE,Fried Rice w/ Egg,154,₱40.00,"Rice Meal, Hot"
13,Fudbook KITCHENETTE,Siomai Silog ,155,₱55.00,"Rice Meal, Hot"
14,Rewandas Eatery,Red Iced Tea S,156,₱20.00,"Beverage, Cold"
14,Rewandas Eatery,Red Iced Tea M,157,₱35.00,"Beverage, Cold"
14,Rewandas Eatery,Red Iced Tea L,158,₱45.00,"Beverage, Cold"
14,Rewandas Eatery,Red Iced Tea 1L,159,₱50.00,"Beverage, Cold"
14,Rewandas Eatery,Iced Lemon Tea S,160,₱20.00,"Beverage, Cold"
14,Rewandas Eatery,Iced Lemon Tea M,161,₱35.00,"Beverage, Cold"
14,Rewandas Eatery,Iced Lemon Tea L,162,₱45.00,"Beverage, Cold"
14,Rewandas Eatery,Iced Lemon Tea 1L,163,₱50.00,"Beverage, Cold"
14,Rewandas Eatery,Fresh Melon w/ Milk S,164,₱25.00,"Beverage, Cold"
14,Rewandas Eatery,Fresh Melon w/ Milk M,165,₱35.00,"Beverage, Cold"
14,Rewandas Eatery,Fresh Melon w/ Milk L,166,₱45.00,"Beverage, Cold"
14,Rewandas Eatery,Fresh Melon w/ Milk 1L,167,₱50.00,"Beverage, Cold"
14,Rewandas Eatery,Mango Tapioca S,168,₱25.00,"Beverage, Cold"
14,Rewandas Eatery,Mango Tapioca M,169,₱35.00,"Beverage, Cold"
14,Rewandas Eatery,Mango Tapioca L,170,₱45.00,"Beverage, Cold"
14,Rewandas Eatery,Mango Tapioca 1L,171,₱60.00,"Beverage, Cold"
14,Rewandas Eatery,Strawberry Tapioca S,172,₱25.00,"Beverage, Cold"
14,Rewandas Eatery,Strawberry Tapioca M,173,₱35.00,"Beverage, Cold"
14,Rewandas Eatery,Strawberry Tapioca L,174,₱45.00,"Beverage, Cold"
14,Rewandas Eatery,Strawberry Tapioca 1L,175,₱60.00,"Beverage, Cold"
14,Rewandas Eatery,Milky Watermelon S,176,₱25.00,"Beverage, Cold"
14,Rewandas Eatery,Milky Watermelon M,177,₱35.00,"Beverage, Cold"
14,Rewandas Eatery,Milky Watermelon L,178,₱45.00,"Beverage, Cold"
14,Rewandas Eatery,Milky Watermelon 1L,179,₱60.00,"Beverage, Cold"
14,Rewandas Eatery,Mango Fruitmilk S,180,₱39.00,"Beverage, Cold"
14,Rewandas Eatery,Mango Fruitmilk M,181,₱49.00,"Beverage, Cold"
14,Rewandas Eatery,Mango Fruitmilk L,182,₱59.00,"Beverage, Cold"
14,Rewandas Eatery,Blueberry Fruitmilk S,183,₱39.00,"Beverage, Cold"
14,Rewandas Eatery,Blueberry Fruitmilk M,184,₱49.00,"Beverage, Cold"
14,Rewandas Eatery,Blueberry Fruitmilk L,185,₱59.00,"Beverage, Cold"
14,Rewandas Eatery,Strawberry Fruitmilk S,186,₱39.00,"Beverage, Cold"
14,Rewandas Eatery,Strawberry Fruitmilk M,187,₱49.00,"Beverage, Cold"
14,Rewandas Eatery,Strawberry Fruitmilk L,188,₱59.00,"Beverage, Cold"
14,Rewandas Eatery,Flavored Fruit Soda M,189,₱39.00,"Beverage, Cold"
14,Rewandas Eatery,Flavored Fruit Soda L,190,₱50.00,"Beverage, Cold"
14,Rewandas Eatery,Iced Coffee S,191,₱25.00,"Beverage, Cold"
14,Rewandas Eatery,Iced Coffee M,192,₱35.00,"Beverage, Cold"
14,Rewandas Eatery,Iced Coffee L,193,₱45.00,"Beverage, Cold"
14,Rewandas Eatery,Iced Coffee 1L,194,₱60.00,"Beverage, Cold"
14,Rewandas Eatery,Matcha S,195,₱25.00,"Beverage, Cold"
14,Rewandas Eatery,Matcha M,196,₱35.00,"Beverage, Cold"
14,Rewandas Eatery,Matcha L,197,₱45.00,"Beverage, Cold"
14,Rewandas Eatery,Matcha 1L,198,₱60.00,"Beverage, Cold"
14,Rewandas Eatery,Milo Cream-O S,199,₱25.00,"Beverage, Cold"
14,Rewandas Eatery,Milo Cream-O M,200,₱35.00,"Beverage, Cold"
14,Rewandas Eatery,Milo Cream-O L,201,₱45.00,"Beverage, Cold"
14,Rewandas Eatery,Milo Cream-O 1L,202,₱60.00,"Beverage, Cold"
14,Rewandas Eatery,Mango Graham S,203,₱25.00,"Beverage, Cold"
14,Rewandas Eatery,Mango Graham M,204,₱35.00,"Beverage, Cold"
14,Rewandas Eatery,Mango Graham L,205,₱45.00,"Beverage, Cold"
14,Rewandas Eatery,Mango Graham 1L,206,₱60.00,"Beverage, Cold"
14,Rewandas Eatery,Lychee w/ Nata S,207,₱20.00,"Beverage, Cold"
14,Rewandas Eatery,Lychee w/ Nata M,208,₱35.00,"Beverage, Cold"
14,Rewandas Eatery,Lychee w/ Nata L,209,₱45.00,"Beverage, Cold"
14,Rewandas Eatery,Lychee w/ Nata 1L,210,₱50.00,"Beverage, Cold"
14,Rewandas Eatery,Cucumber Lemonade S,211,₱20.00,"Beverage, Cold"
14,Rewandas Eatery,Cucumber Lemonade M,212,₱35.00,"Beverage, Cold"
14,Rewandas Eatery,Cucumber Lemonade L,213,₱45.00,"Beverage, Cold"
14,Rewandas Eatery,Cucumber Lemonade 1L,214,₱50.00,"Beverage, Cold"
15,Puroy's Eatery,Bacon,215,₱60.00,"Rice Meal, Hot"
15,Puroy's Eatery,Burger Steak,216,₱55.00,"Rice Meal, Hot"
15,Puroy's Eatery,Cheese Hungarian Sausage w/ Rice,217,₱69.00,"Rice Meal, Hot"
15,Puroy's Eatery,Cheese Sticks 8pcs,218,₱25.00,"Street Food, Hot"
15,Puroy's Eatery,Corndog,219,₱30.00,"Street Food, Hot"
15,Puroy's Eatery,Corndog w/ Cheese,220,₱35.00,"Street Food, Hot"
15,Puroy's Eatery,Dragon Fruit L,221,₱45.00,"Beverage, Cold"
15,Puroy's Eatery,Dragon Fruit M,222,₱35.00,"Beverage, Cold"
15,Puroy's Eatery,Dragon Fruit S,223,₱25.00,"Beverage, Cold"
15,Puroy's Eatery,Dynamite,224,₱25.00,"Street Food, Hot"
15,Puroy's Eatery,Fishballs 10pcs,225,₱20.00,"Street Food, Hot"
15,Puroy's Eatery,French Fries L,226,₱60.00,"Snack, Hot"
15,Puroy's Eatery,French Fries S,227,₱35.00,"Snack, Hot"
15,Puroy's Eatery,Fruit Shake 16oz,228,₱75.00,"Beverage, Cold"
15,Puroy's Eatery,Fruit Shake 22oz,229,₱85.00,"Beverage, Cold"
15,Puroy's Eatery,Ham,230,₱55.00,"Rice Meal, Hot"
15,Puroy's Eatery,Hot Coffee,231,₱15.00,"Beverage, Hot"
